,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Timestamp,Company,Q_period,Total_openings,Sales_openings
0,0.0,0.0,0.0,2021/08/07,google,T2 2021,17.4,2129
1,1.0,1.0,1.0,2021/08/07,microsoft,T2 2021,31.514,4288
2,2.0,0.0,,2021/08/07,google,T2 2021,17.4,2129
3,3.0,1.0,,2021/08/07,microsoft,T2 2021,31.514,4288
4,4.0,2.0,,2021/08/07,amazon,T2 2021,53.311,8337
5,0.0,,,2021/08/07,google,T2 2021,17.4,2129
6,1.0,,,2021/08/07,microsoft,T2 2021,31.514,4288
7,2.0,,,2021/08/07,amazon,T2 2021,53.311,8337
0,,,,2021/08/07,google,T2 2021,17.400,2129
1,,,,2021/08/07,microsoft,T2 2021,31.514,4288
2,,,,2021/08/07,amazon,T2 2021,53.311,8337
